1680
torch.Size([1, 500, 512]) torch.Size([1, 6, 2])
         450092 function calls (437207 primitive calls) in 4.099 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(all)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        7    0.000    0.000    0.013    0.002 <frozen importlib._bootstrap>:1002(_gcd_import)
 1019/572    0.016    0.000    1.450    0.003 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     2365    0.016    0.000    0.022    0.000 <frozen importlib._bootstrap>:103(release)
      985    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:143(__init__)
      985    0.008    0.000    0.051    0.000 <frozen importlib._bootstrap>:147(__enter__)
      985    0.005    0.000    0.015    0.000 <frozen importlib._bootstrap>:151(__exit__)
     2365    0.026    0.000    0.052    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      978    0.011    0.000    0.018    0.000 <frozen importlib._bootstrap>:176(cb)
     1380    0.015    0.000    0.058    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
  1233/10    0.007    0.000    3.797    0.380 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     7754    0.022    0.000    0.022    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      975    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:342(__init__)
      849    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1790    0.008    0.000    0.079    0.000 <frozen importlib._bootstrap>:376(cached)
     1976    0.009    0.000    0.013    0.000 <frozen importlib._bootstrap>:389(parent)
      946    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:397(has_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      946    0.029    0.000    0.136    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  946/942    0.013    0.000    0.937    0.001 <frozen importlib._bootstrap>:549(module_from_spec)
      978    0.009    0.000    0.014    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:613(_load_backward_compatible)
    947/9    0.018    0.000    3.800    0.422 <frozen importlib._bootstrap>:650(_load_unlocked)
      972    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:725(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
     2365    0.017    0.000    0.023    0.000 <frozen importlib._bootstrap>:78(acquire)
      967    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:800(find_spec)
     2931    0.015    0.000    0.022    0.000 <frozen importlib._bootstrap>:863(__enter__)
     2931    0.015    0.000    0.023    0.000 <frozen importlib._bootstrap>:867(__exit__)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:881(_find_spec_legacy)
      972    0.030    0.000    0.697    0.001 <frozen importlib._bootstrap>:890(_find_spec)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
    984/9    0.018    0.000    3.816    0.424 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    985/9    0.023    0.000    3.817    0.424 <frozen importlib._bootstrap>:986(_find_and_load)
      849    0.005    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      109    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
    92/90    0.001    0.000    0.781    0.009 <frozen importlib._bootstrap_external>:1099(create_module)
    92/55    0.001    0.000    0.184    0.003 <frozen importlib._bootstrap_external>:1107(exec_module)
      108    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
     1459    0.006    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      967    0.020    0.000    0.604    0.001 <frozen importlib._bootstrap_external>:1302(_get_spec)
      967    0.006    0.000    0.610    0.001 <frozen importlib._bootstrap_external>:1334(find_spec)
      111    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      876    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
      943    0.009    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
     1330    0.058    0.000    0.554    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      111    0.002    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      108    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
